rubro,provincia,value,datetime
Manufacturas de origen industrial,Chubut,744.808,1/1/2008 0:00:00
Manufacturas de origen industrial,Neuquén,102.147,1/1/2008 0:00:00
Manufacturas de origen industrial,Río Negro,33.861,1/1/2008 0:00:00
Manufacturas de origen industrial,Santa Cruz,244.471,1/1/2008 0:00:00
Manufacturas de origen industrial,Tierra del Fuego,118.816,1/1/2008 0:00:00
Manufacturas de origen industrial,Catamarca,103.02,1/1/2008 0:00:00
Manufacturas de origen industrial,Jujuy,79.041,1/1/2008 0:00:00
Manufacturas de origen industrial,La Rioja,79.548,1/1/2008 0:00:00
Manufacturas de origen industrial,Salta,82.738,1/1/2008 0:00:00
Manufacturas de origen industrial,Santiago del Estero,26.631,1/1/2008 0:00:00
Manufacturas de origen industrial,Tucumán,281.584,1/1/2008 0:00:00
Manufacturas de origen industrial,Mendoza,239.958,1/1/2008 0:00:00
Manufacturas de origen industrial,San Juan,625.868,1/1/2008 0:00:00
Manufacturas de origen industrial,San Luis,319.961,1/1/2008 0:00:00
Manufacturas de origen industrial,Chaco,9.392,1/1/2008 0:00:00
Manufacturas de origen industrial,Corrientes,11.96,1/1/2008 0:00:00
Manufacturas de origen industrial,Formosa,2.397,1/1/2008 0:00:00
Manufacturas de origen industrial,Misiones,142.9,1/1/2008 0:00:00
Combustibles y energía,Buenos Aires,3202.592,1/1/2008 0:00:00
Combustibles y energía,Capital Federal,0,1/1/2008 0:00:00
Combustibles y energía,Córdoba,0,1/1/2008 0:00:00
Combustibles y energía,Entre Ríos,69.633,1/1/2008 0:00:00
Combustibles y energía,La Pampa,0,1/1/2008 0:00:00
Combustibles y energía,Santa Fe,327.146,1/1/2008 0:00:00
Combustibles y energía,Chubut,1504.904,1/1/2008 0:00:00
Combustibles y energía,Neuquén,287.255,1/1/2008 0:00:00
Combustibles y energía,Río Negro,37.772,1/1/2008 0:00:00
Combustibles y energía,Santa Cruz,53.535,1/1/2008 0:00:00
Combustibles y energía,Tierra del Fuego,284.07,1/1/2008 0:00:00
Combustibles y energía,Catamarca,0,1/1/2008 0:00:00
Combustibles y energía,Jujuy,1.295,1/1/2008 0:00:00
Combustibles y energía,La Rioja,0,1/1/2008 0:00:00
Combustibles y energía,Salta,357.341,1/1/2008 0:00:00
